Literal Ngram Statistic for 1..4-grams


RANK	NGramm	F
1	e	92299
2	t	64328
3	a	56685
4	o	53525
5	n	52197
6	h	51156
7	i	44572
8	r	43491
9	s	42537
10	d	35347
11	l	26312
12	th	24799
13	he	23925
14	w	17777
15	u	17772
16	f	16877
17	m	16833
18	the	16757
19	c	16460
20	g	15951
21	an	13248
22	in	13121
23	er	12301
24	y	11991
25	p	11709
26	b	11471
27	nd	11078
28	re	9880
29	en	9024
30	ed	8842
31	and	8645
32	ng	7877
33	on	7696
34	hi	7639
35	to	7267
36	is	6883
37	at	6802
38	ha	6747
39	of	6344
40	k	6216
41	ou	6215
42	v	6173
43	or	6143
44	ar	6049
45	as	6039
46	ing	5740
47	se	5238
48	es	5188
49	te	5146
50	it	5008
51	st	4873
52	le	4784
53	ea	4737
54	wa	4686
55	ve	4592
56	me	4348
57	ho	4324
58	nt	4145
59	be	4005
60	ne	3981
61	ro	3957
62	de	3807
63	ri	3720
64	his	3719
65	ad	3527
66	wh	3504
67	al	3478
68	ll	3325
69	ch	3260
70	co	3250
71	was	3132
72	li	3055
73	ce	3053
74	her	3029
75	la	2975
76	ma	2958
77	fo	2958
78	we	2931
79	ti	2901
80	no	2881
81	el	2866
82	om	2804
83	sh	2787
84	so	2747
85	ere	2670
86	ot	2654
87	ut	2598
88	im	2568
89	ow	2556
90	un	2551
91	wi	2519
92	ur	2481
93	hat	2471
94	rs	2445
95	tha	2406
96	ki	2388
97	for	2327
98	ai	2314
99	ca	2261
100	ee	2223
101	kin	2197
102	ld	2197
103	us	2145
104	that	2135
105	king	2114
106	et	2112
107	ie	2112
108	ir	2109
109	ra	2085
110	lo	2084
111	pe	2064
112	ns	2053
113	nc	2048
114	ent	2033
115	di	2020
116	pr	2000
117	gh	1991
118	ly	1966
119	il	1962
120	rt	1951
121	am	1910
122	ver	1906
123	rd	1886
124	ic	1883
125	ol	1872
126	ul	1825
127	em	1801
128	ke	1796
129	ry	1788
130	ge	1786
131	si	1781
132	ith	1780
133	mo	1778
134	ter	1768
135	ther	1761
136	po	1741
137	tr	1739
138	ei	1688
139	sa	1686
140	all	1673
141	ig	1673
142	had	1652
143	wit	1651
144	ey	1634
145	with	1627
146	ta	1617
147	him	1609
148	id	1597
149	oo	1596
150	ss	1583
151	wer	1574
152	io	1573
153	thi	1536
154	ec	1527
155	av	1483
156	one	1473
157	ac	1473
158	fr	1443
159	wo	1421
160	bu	1419
161	ay	1378
162	rea	1375
163	op	1371
164	ev	1370
165	who	1357
166	ear	1330
167	pl	1317
168	do	1316
169	ght	1313
170	ht	1313
171	nce	1310
172	os	1305
173	pa	1288
174	ers	1282
175	hen	1255
176	bl	1252
177	su	1243
178	mi	1226
179	red	1219
180	ion	1211
181	tt	1208
182	eve	1202
183	fi	1197
184	ted	1186
185	ag	1179
186	hey	1167
187	they	1166
188	eat	1165
189	hou	1164
190	were	1157
191	ain	1151
192	by	1134
193	gl	1121
194	gr	1113
195	men	1111
196	man	1108
197	tl	1106
198	ga	1088
199	ni	1084
